A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Why are they calling it a cyclone?,0.0,1.0,0.0,0.0,NEU
"This was on google.
Hurricanes, cyclones, and typhoons are all large tropical storm systems that are essentially the same weather phenomenon, but they are given different names based on where they form:",0.0,1.0,0.0,0.0,NEU
Dramatic effect. It's the newest thing. Hurricane/Cyclone.,0.0,1.0,0.0,0.0,NEU
"Everyone stay safe",0.592,0.408,0.0,0.4404,POS
Thank you for the update..Denis,0.385,0.615,0.0,0.3612,POS
"Everybody stay safe. Thanks Denis, will be keeping up with you.",0.392,0.608,0.0,0.7003,POS
"Denis, our daughter is on a flight out of Tpa tonite, do you think flights will go out tonite or should she wait until tomorrow",0.0,1.0,0.0,0.0,NEU
"they started to cancel flights now. In Jax flights are cancelled",0.0,0.692,0.308,-0.4588,NEG
We are suppose to meet friends at Johns PASS at 1:30.. hubby very apprehensive to go 😩,0.171,0.829,0.0,0.4767,POS
you should be staying put today,0.0,1.0,0.0,0.0,NEU
Stay safe y’all. Send good vibes from Fort Lauderdale,0.453,0.547,0.0,0.7003,POS
"Thank you my daughter and her family live in tornado area 🙏🏻
this is worse that the tropical storm",0.111,0.752,0.137,-0.1531,NEG
"We get a little bit of win over here in Dundee and Like helmeton",0.354,0.646,0.0,0.7216,POS
Rule #7 is outta here! 😂,0.0,1.0,0.0,0.0,NEU
Nope. Still focused on #7. I don't see Denis in a panic. Step by step.,0.0,0.667,0.333,-0.6688,NEG
"i was just teasing.. its ALWAYS Rule #7!",0.0,1.0,0.0,0.0,NEU
"Good job!",0.761,0.239,0.0,0.4926,POS
I think my breakfast is outta here too!!!🤣🤦🏻‍♀️😫😳,0.0,1.0,0.0,0.0,NEU
Deerfield Beach was under a tornado watch at 10:00 last night.,0.0,1.0,0.0,0.0,NEU
"Thank you. The ladies are doing a great job providing info too ☺️",0.398,0.602,0.0,0.765,POS
"Has it turned anymore west, does anyone know? It seems it has all night in the gulf",0.0,1.0,0.0,0.0,NEU
My day includes the Olympics➡️Denis Phillips➡️Olympics➡️Denis Phillips➡️………repeat.all.day.,0.0,1.0,0.0,0.0,NEU
