"New track coming out shortly. Don't expect any changes. This will be an ""East-weighted"" system with heavy rains setting up West of I-75. We'll post the update when it's released.",Pos,Neu,Neg,Compound,Overall Sentiment
Thanks for keeping us up to date,0.326,0.674,0.0,0.4404,POS
"Update: we are about 3 hours from Disney on 95 south about to enter Florida. The worst weather was last evening driving in very heavy rain and traffic in Maryland and Virginia. Grateful to get here ahead of the storm. It might be a rainy week in Disney, but we’re OK with that! Thank you so much to everyone who gave their suggestions. Truly appreciate your advice and thoughts.
Will I be ok driving south on I-95 from Savannah to Orlando tomorrow afternoon. I can’t read any times on the maps for when the storm hits that area.",0.18,0.787,0.034,0.9512,POS
tomorrow is supposed to be heavier day for rain in Florida....just saying,0.0,1.0,0.0,0.0,NEU
in also wondering how Orlando will be affected,0.0,0.814,0.186,-0.1531,NEG
I wouldn’t do it.,0.0,1.0,0.0,0.0,NEU
"As always, THE best and ONLY source for weather in the Tampa area. #rule#7",0.244,0.756,0.0,0.6369,POS
Sitting high on the Bluffs over the Intercoastal where we always get the high end of the winds. Clearing the yard of potted plants. What few I've kept over the years.,0.0,1.0,0.0,0.0,NEU
"The center of circulation is well east of where they’re indicating it to be.
Makes me wonder if it’ll track east of the forecast.",0.084,0.916,0.0,0.2732,POS
"it's definitely going to get stronger once on the other side of the islands and warmer water, turn east a bit. Then they call it a hurricane. My opinion.",0.238,0.762,0.0,0.7579,POS
"That's what I'm thinking too - Not too far east, but enough to feel some of the effects of the storm",0.0,1.0,0.0,0.0,NEU
"and if it’s stronger than they’re expecting, wouldn’t that make a harder right turn as well?
Idk. Just thinking this thing hasn’t been easy to predict so far.
Who knows?",0.232,0.728,0.041,0.7622,POS
"agreed - It's mother nature. I know I secured my stuff, got my power banks charged...and I'm watching Twister tonight -
Not a big storm, but I'm not apathetic towards any storm",0.193,0.807,0.0,0.5764,POS
I’m glad I’m a half a mile east of 75. 🤪,0.3,0.7,0.0,0.4588,POS
too funny I was thinking I was glad to be 2 miles East of 75 🤣,0.371,0.629,0.0,0.7096,POS
I'm 2 miles and I always think exactly what does that mean when he says east of 75 and south of i-4,0.0,1.0,0.0,0.0,NEU
"they must build interstates on high ground. When I lived in Memphis, everything was either north or south of I40. It’s crazy.",0.0,0.893,0.107,-0.34,NEG
I think he's probably talking like 20 miles in either direction,0.217,0.783,0.0,0.3612,POS
oh I totally got it and I was actually cracking up sitting here in my house by myself!,0.0,1.0,0.0,0.0,NEU
sometimes we just need a good laugh.,0.619,0.381,0.0,0.7579,POS
maybe we should all just meet at the Cracker Barrel and watch all the rain come down around us while we stay dry 😂😂😂,0.0,1.0,0.0,0.0,NEU
two miles for me 😂,0.0,1.0,0.0,0.0,NEU
🤔Hmmmm........ 1/2 mile west of 75. 😬,0.0,1.0,0.0,0.0,NEU
high and dry! 🌞,0.0,1.0,0.0,0.0,NEU
"Thank you for updating!! You are appreciated!!! 🤗",0.582,0.418,0.0,0.7887,POS
Do you think this is going to be a fast moving storm? Or will it be similar in speed as Idalia? Trying to plan for the flooding. We are right in the eye again with this one. Oh YaYs!,0.0,1.0,0.0,0.0,NEU
he said that it was originally a slower storm but now it has picked up speed and is not going to be as much rain.,0.0,1.0,0.0,0.0,NEU
Sweet! Thanks. I hope it stays that way.,0.694,0.306,0.0,0.8439,POS
I’m driving from lake Suzy to Daytona tomorrow. Wondering what time i should leave?,0.0,0.909,0.091,-0.0516,NEG
"Thank you for keeping us updated",0.333,0.667,0.0,0.3612,POS
I'm right in the Big Bend area. I'm assuming we are taking a direct hit on the dirty side of the hurricane.,0.0,0.873,0.127,-0.4404,NEG
stay safe,0.744,0.256,0.0,0.4404,POS
Hurricane watches out for big bend area.,0.0,1.0,0.0,0.0,NEU
Any word on airport closures?,0.0,1.0,0.0,0.0,NEU
I fly out tomorrow. We'll see.,0.0,1.0,0.0,0.0,NEU
I fly in! 😆,0.0,1.0,0.0,0.0,NEU
"good luck!",1.0,0.0,0.0,0.7345,POS
"you too!",0.0,1.0,0.0,0.0,NEU
Keep your eyes on wind speed. Anything above 35-40 miles will close the airports...,0.0,1.0,0.0,0.0,NEU
"Thanks D! You’re so appreciated! Get some sleep!",0.572,0.428,0.0,0.8409,POS
Already raining in Safety Harbor Florida.,0.359,0.641,0.0,0.4215,POS
Rule #7,0.0,1.0,0.0,0.0,NEU
Dennis we are in the siesta key area needing to head back to Tampa over the Sunshine skyway bridge tomorrow. Was wondering what the winds are projected to be in the morning concerned about them closing the bridge.,0.08,0.92,0.0,0.4939,POS
"Siesta Key has areas that ALWAYs flood, so you may have trouble even getting off the island tomorrow. All of the East/West main roads in Sarasota and Bradenton also have problem areas that flood in our normal summer storms, so be sure to plan some alternate routes to get to the Interstate and add in some extra time. Don’t even think about going over the skyway tomorrow-it’s pretty awful with heavy winds and rain, long before it gets officially closed- which is usually around 30mph.",0.061,0.849,0.089,-0.3862,NEG
may have to take the long way around. They close the bridge at 35 mph winds I think,0.0,1.0,0.0,0.0,NEU
thanks yeah you live in Trinity so that would definitely be the long way but it is an option.,0.257,0.743,0.0,0.5472,POS
"I would leave today for a cornucopia of reasons.",0.0,0.833,0.167,-0.0516,NEG
just take 75 around,0.0,1.0,0.0,0.0,NEU
"you can go back on 75 through Riverview if they close the bridge.",0.0,1.0,0.0,0.0,NEU
leave now,0.0,0.455,0.545,-0.0516,NEG
this might be helpful. Sunday predictions are 40mph. I’d anticipate they’ll close it. https://www.skywaybridgestatus.com/,0.177,0.823,0.0,0.4215,POS
thanks!,1.0,0.0,0.0,0.4926,POS
"Praying for no flooding from surge!🙏",0.31,0.445,0.245,0.1511,POS
me too!! Praying for you and the farm that there’s not!,0.252,0.748,0.0,0.5229,POS
