Post,Pos,Neu,Neg,Compound,Overall Sentiment
"Yikes! I didn't think this could happen but with so many things around the house that contain lithium-ion batteries I guess this is very possible. Remember to leave these things, especially power banks, out of reach! Glad the animals got our safely and no one else was hurt.",0.171,0.681,0.148,0.3257,POS
"Look what's back! Heat advisories have been issued for all.of central Florida today as the heat index may reach 111° at times. For some though this wkllybe counteracted by higher storm coverage this afternoon. Those pop-up rains will drop temps into the 80s quickly. The extra clouds from these afternoon rains will also make it feel better. 
Have a great Thursday!",0.13,0.839,0.031,0.7639,POS
Models shifting west as tropical wave approaches Florida.,0.0,1.0,0.0,0.0,NEU
FORECAST | Good morning! Sct'd storms return this afternoon providing some relief from the heat. Rain coverage could be a little higher than yesterday with the storms beginning a little earlier compared to Wednesday. Have a great day!,0.256,0.744,0.0,0.893,POS
"I asked Meta AI to ""imagine me as a meteorologist doing weather in front of a green screen.""
This is the result. 🤣
I have so many questions! Clearly Meta AI thinks I live at the gym. Holy smokes, those guns! 💪🏼 🤣
Also, check out the weather graphics behind me. What PLANET am I doing the weather for?!
A headset?!
Most important, Mark points out in the comments below that I'm wearing a GREEN shirt while in front of the green screen. That's the one color you CAN'T wear at a green screen. AI is apparently not very intelligent after all. 🤣
This is hilarious. 
If you want to try this, peep 👀 the comments below.",0.094,0.882,0.024,0.7838,POS
"TROPICS | NHC continues to update the area they expect development with this tropical wave as the models shift west. After highlighting areas east of Florida yesterday, the latest model shift west has the NHC now looking into the eastern Gulf. Any development likely not occurring until the weekend at the earliest.",0.0,1.0,0.0,0.0,NEU
Models are beginning to agree on a general direction this system may take if and when it develops over the next 5-7 days.,0.106,0.894,0.0,0.3612,POS
"Red draws your attention, what it means is that 2-7 days from now there is a 70% chance that a numbered or named storm could develop in the red area. We will be watching this closely and have regular updates on what to expect.",0.047,0.953,0.0,0.25,POS
"When uncle Greg takes you to see a movie we get candy AND popcorn! 
Saw Angry Birds 2 with my buddy Z. He loved the movie. I didn't expect it but there were a couple scenes where I was crying laughing. The way they build some adult humor into these kids movies is masterful.",0.162,0.733,0.105,0.5255,POS
"THU PM UPDATE | I realize you've probably been seeing way to many spaghetti lines, model plots, etc. It's confusing & overwhelming. I'm only going to show you one here. This is one of my favorites because it takes ALL the different runs from the EURO, AMERICAN, UKMET & CMC models & looks at their tracks. It then uses simple shading to show you where most of the models track. This is a great way to look at it b/c when it comes to model forecasts, the most accurate one is ALWAYS the average of all of them. The green/yellow shading here shows where most of the model tracks take this system right now.
You'll notice the track is along Cuba & into the eastern Gulf. I really can't see this system even begin to organize until it gets away from Cuba. That means it will already be near Florida before organization can even begin. That's great for us b/c IF (there is still a chance it doesn't) it does organize & strengthen it'll already be close to us & won't have much time to get very strong before it heads back over Florida somewhere near the Big Bend. A track very close to our coast would also actually be good b/c the more of the storm hangs over land the slower it will likely organize & strengthen. 
So what do we get? Saturday will probably be the BEST day of the weekend. I'm not saying it's going to be dry, it's August. Expect sct'd storms but compared to Sunday, Saturday looks GREAT. Sunday on the other hand will likely be cloudy & showery at least with an increasing potential for simply a lot of rain on Sunday. Gusty winds? Sure! Nothing worse than a typical summer storm, but definitely a day for indoor activities.
The interesting part is that all the models now take the storm over Florida & back over the Atlantic near Jacksonville & potentially strengthen it again to be a concern for the Carolinas. 
Still a low threat, still nothing to worry about. Think summer thunderstorm-type rain on Sunday at this point. 
See y'all in the morning!",0.133,0.844,0.023,0.9904,POS
Hall of Fame game canceled. We're on LIVE at 11 on ABC Action News with the latest on the tropics.,0.132,0.868,0.0,0.4404,POS
