Hall of Fame game canceled. We're on LIVE at 11 on ABC Action News with the latest on the tropics.,Pos,Neu,Neg,Compound,Overall Sentiment
"I’m really confused. Every year we take the media tracking events one step further. This thing isn’t a hurricane… or a tropical storm. It’s a mere disturbance, and all this hype. I suppose this is the age of social media, but what’s next, we start tracking 2 point drops in pressure? The world has kinda sorta lost its mind.",0.0,0.855,0.145,-0.7572,NEG
"unless you were displaced by the flooding that Idalia brought (we lost everything in our home), and live in a flood-prone area- then it’s understandable that you may not comprehend why some of us may want a huge heads-up to try and get our property ready and evacuation plans made should they be necessary.
This was still “no big deal” yesterday, but with today’s defined track, it is- to thousands who live in our flood-prone neighborhood. Hope this answers your question.",0.1,0.88,0.02,0.6956,POS
Denis was saying the same thing last night. He has always tracked these storms like this but people are literally acting like it’s a Cat5. Maybe it’s the new people being initiated! 😂,0.154,0.846,0.0,0.6476,POS
I wear a seat belt all the time when driving knowing (hopefully) I'll never crash. But I'm always ready. More knowledge about nothing is better than no knowledge about something.,0.14,0.69,0.17,-0.257,NEG
The water temps in the gulf are approaching 90 degrees. That is not suppose to happen until September. Got it now?,0.0,1.0,0.0,0.0,NEU
pretty sure I got it before. #socialMedia,0.579,0.421,0.0,0.6705,POS
"Rapid intensification of tropical systems, that is what happens during an era of abrupt climate change. climate.nasa.gov",0.0,1.0,0.0,0.0,NEU
"I think this has been tracked because it went from a 30% chance of development to now an 80%. There is a chance of it turning into a hurricane before it hits the panhandle area if it continues on the path they’re thinking.
Trust me. Denis would’ve stopped talking about it. But it’s his job to do so if there’s a chance Florida will get weather from the storm. Which we will.",0.108,0.872,0.02,0.6369,POS
"you got that right",0.0,1.0,0.0,0.0,NEU
This Bears fan will still take the win. Thanks as always for the updates!,0.458,0.542,0.0,0.8516,POS
Is there a live feed?,0.0,1.0,0.0,0.0,NEU
here to ask the same,0.0,1.0,0.0,0.0,NEU
"Chicago Bears WON 🙂 Now on to the impending weather situation. Rule # 7 in our home, we are prepared always 🙂",0.284,0.716,0.0,0.7456,POS
Love the bears!!🐻,0.705,0.295,0.0,0.6988,POS
packers fans love them too .,0.512,0.488,0.0,0.6369,POS
descent game. I have as there,0.0,1.0,0.0,0.0,NEU
"Where and what is the hall of fame game?",0.266,0.734,0.0,0.4404,POS
"We will be fine. Not like this is the I storm. Now, if this was Isaac, I'd be concerned...lol",0.09,0.804,0.106,-0.0798,NEG
How do we watch the live please?,0.277,0.723,0.0,0.3182,POS
it's on the ABC Action News app,0.0,1.0,0.0,0.0,NEU
Bears did great!,0.687,0.313,0.0,0.6588,POS
"The game in in Ohio, not near us.",0.0,1.0,0.0,0.0,NEU
"Ohio has weather too, which caused the cancellation.",0.0,1.0,0.0,0.0,NEU
"Oh, I was wondering why it was cancelled. Thank you.",0.217,0.609,0.174,0.128,POS
Thank you denis,0.556,0.444,0.0,0.3612,POS
It's going to Canton now?,0.0,1.0,0.0,0.0,NEU
"Type in ABC Action news in search bar and you can watch him there ☺️",0.0,1.0,0.0,0.0,NEU
we are prepping 🌧️🌧️🌧️,0.0,1.0,0.0,0.0,NEU
Can we watch live on FB?,0.0,1.0,0.0,0.0,NEU
Hall of fame game is 1000 miles north of Florida? Is there a correlation?,0.214,0.786,0.0,0.504,POS
"He and many here are sports fans, too.",0.0,1.0,0.0,0.0,NEU
fun trivia: other places have weather too. Weather *there* caused the cancellation.,0.231,0.769,0.0,0.5106,POS
"I just can't even with Alex's comment. It really shows you how disconnected from the world people are. Yeah, Alex, weather a 1000 miles away affected a game that was played tonight. Good Lord.",0.208,0.748,0.044,0.7096,POS
"I live in Kansas, not Florida. All of the recent activity in this page has been centered on the tropical storm. The way the headline reads implies that the hall of fame game weather has something to do with the storm in the tropics. How do you not get that? So sorry that you ""can't even"".",0.05,0.922,0.028,0.3197,POS
Maybe you don't realize that people talk about more than one thing at once. There is no headline. It's what he chose to write. Not sure why somebody who lives in Kansas is following this guy. 😂,0.0,0.891,0.109,-0.4874,NEG
Ummm it was on last night,0.0,1.0,0.0,0.0,NEU
Following lol. Wasn’t before but Now I’m nervous 👀🤣,0.165,0.606,0.229,-0.1901,NEG
"Dennis you need a ""rule number 8"" which is kind of a 😉 rule where we pretend that the storm is coming in hot at CAT5 even though it's just going to be a rain making disturbance. Sort of a hazing ritual for the newbies. Watch as they empty the bread from the shelves and hoard the water the way they heard we are supposed to. 🤣",0.02,0.889,0.09,-0.5423,NEG
Makes no sense,0.0,0.476,0.524,-0.296,NEG
It’s 11:02 l lol where is the live 👀 😂🤪,0.286,0.714,0.0,0.4215,POS
Denis Phillips how about Jacksonville? My husband is supposed to be driving here Sunday into Monday? You are the only one I trust 🤗🙏💜,0.143,0.857,0.0,0.5661,POS
I’m driving to Jacksonville too!,0.0,1.0,0.0,0.0,NEU
I’m flying down tomorrow 🙏,0.0,1.0,0.0,0.0,NEU
tomorrow you will be ok 🙂,0.355,0.645,0.0,0.296,POS
me too.,0.0,1.0,0.0,0.0,NEU
"?",0.0,0.0,0.0,0.0,NEU
"Thank you for the update",0.385,0.615,0.0,0.3612,POS
What does he mean ball of fame cancelled ?,0.266,0.55,0.183,0.2263,POS
NFL pre season game.,0.0,1.0,0.0,0.0,NEU
oh shoot,0.0,0.294,0.706,-0.34,NEG
"pre season already? Dang",0.0,1.0,0.0,0.0,NEU
They called the game at the 3rd quarter. Cause of storms going through.,0.0,1.0,0.0,0.0,NEU
Share the live link! 🙏🏻,0.384,0.616,0.0,0.3595,POS
