A Tropical Storm WATCH has been issued from Pasco/Hernando Co line south (Aripeka) south. A Tropical Storm WARNING is in effect from Bonita Beach south. The WATCH means tropical storm conditions are possible within the next 48 hours.,Pos,Neu,Neg,Compound,Overall Sentiment
just please keep predicting this track because it never goes where they think so that's good for me as i am in the way of it as of now 🙄,0.174,0.826,0.0,0.6682,POS
Are there any storm surge predictions for the coastal communities?,0.0,1.0,0.0,0.0,NEU
1 to 3 ft possible as of now,0.0,1.0,0.0,0.0,NEU
"Why is NOAA using the term cyclone now for the Gulf/Atlantic? In all my years in Florida (almost 30) I've only seen tropical wave/depression/storm on the NOAA sites for the Gulf/Atlantic and the term cyclone only used in the Pacific (I realize they are all cyclones, I'm just asking about the terminology being used). Have I just been missing it or has there been a change this year?",0.0,0.962,0.038,-0.3736,NEG
cyclone is the parent name. Hurricane and tropical storm name only comes into play once it reaches those characteristics,0.175,0.825,0.0,0.3818,POS
"Hurricanes, tropical storms, typhoons are all tropical cyclones. The only difference is where in the world they form.",0.0,1.0,0.0,0.0,NEU
I was wondering the same thing. Good question Mari!,0.313,0.687,0.0,0.4926,POS
"New collage boys on the job. They must change everything. You know, we are here now and will be in charge. It's a power thing.",0.0,1.0,0.0,0.0,NEU
"By the way, does anyone see any cyclonic circulation - YET?",0.0,1.0,0.0,0.0,NEU
... Isn't NOAA a government agency? They're all incompetent now.,0.0,0.721,0.279,-0.4767,NEG
".. Thank you, Thank you very much.",0.5,0.5,0.0,0.6124,POS
"I’m inland about 6 miles. Please no big winds as I’m 6,000 miles away in Sweden and cannot board up 😬",0.107,0.791,0.102,0.0258,NEU
relax & enjoy. 😉,1.0,0.0,0.0,0.7269,POS
stop telling everyone you aren’t at home,0.0,0.732,0.268,-0.296,NEG
I have people at my house 😊,0.0,1.0,0.0,0.0,NEU
"Will all of this be wrapped up by Tuesday? Going to Clearwater Tues-Fri. ??
Haven’t had ANY free time in 3 yrs, caring for my grandma with dementia. We finally get a break and get respite care for a few days and now a storm. 😱😱🥹Traveling from St. Louis. I hope things are up and running by then. My littles need this little vacation and so do I. 🙏🏼🙏🏼🙏🏼🙏🏼",0.18,0.82,0.0,0.9207,POS
We will be in Clearwater Saturday-Saturday.. trying to make a decision too if we cancel or not. We’re coming from Ohio 😔,0.0,0.905,0.095,-0.25,NEG
My son is flying out Sunday evening from Ohio.There is no delay yet,0.0,0.71,0.29,-0.5423,NEG
Just got an alert for pasco.,0.306,0.694,0.0,0.296,POS
me to . I’m flying back Sunday at 4,0.0,1.0,0.0,0.0,NEU
we are headed to Clearwater too…we are from the Midwest. Not used to these kind of storms and not sure what to expect,0.0,0.918,0.082,-0.2411,NEG
such a tough decision lol,0.444,0.317,0.238,0.3182,POS
maybe this is helpful for an idea. Should be well clear of here by Tuesday and into a Georgia/NC problem,0.298,0.595,0.107,0.5859,POS
so likely all day Sunday and Monday in Clearwater?,0.0,1.0,0.0,0.0,NEU
no not at all. It'll be in the north of the state by Sunday evening. I'd just keep an eye on this page. It hasn't even developed into a depression yet. As of right now we're just looking at a lot of rain and some manageable wind.,0.0,0.879,0.121,-0.7096,NEG
Better stock up on beer!😉🇺🇸🍻,0.444,0.556,0.0,0.4926,POS
We are literally on the Pasco/Hernando line.,0.0,1.0,0.0,0.0,NEU
"I am too, but the watch is technically just a tad south of me. 😄",0.0,1.0,0.0,0.0,NEU
"We are mile north of pasto, in Hernando. But thankfully in the hilly parts which storms blow over.",0.179,0.821,0.0,0.5719,POS
Denis Phillips could you share the taco model again to remind everyone the severity? 😅,0.145,0.855,0.0,0.296,POS
I’m confused cause that track posted definitely looked like it was gonna cross into the state above citrus county so why not warnings for us?,0.24,0.685,0.075,0.6189,POS
"bcs right now the tropical storm (not yet a hurricane) isn’t predicted to impact our area as a tropical storm. the area slightly below us.
until we’re a few hours out from impact and they’ve updated us on trajectory is when i would be expecting it to hit. patterns shift all the time ❤️",0.0,1.0,0.0,0.0,NEU
Warning areas move as the storm develops. We’ll be under a warning eventually.,0.0,0.676,0.324,-0.5859,NEG
Yeah I’m not worried regardless I just thought it was interested based on the track that was shown.,0.327,0.673,0.0,0.6992,POS
same ♥️,0.0,1.0,0.0,0.0,NEU
I got the same question 🙋🏻‍♀️,0.0,1.0,0.0,0.0,NEU
Pasco ... that's me ... we are ready ...,0.238,0.762,0.0,0.3612,POS
Thanks for the update Denis. Always know we can depend on you to keep us informed!,0.175,0.825,0.0,0.4926,POS
Thank you for keeping us informed and not hyping it.,0.217,0.783,0.0,0.3612,POS
"So some wind and some waves. A nice break from the unending heat, humidity and sunshine.",0.316,0.684,0.0,0.7184,POS
"Facts 🛑
Q: What are Potential Tropical Cyclone Advisories?
A: These are issued before a tropical depression or tropical storm forms.
Q: What purpose do these advisories serve?
A: They provide the NWS with the ability to issue a watch with a full 48 hours of lead time or a warning with a full 36 hours of lead time prior to possible tropical storm, hurricane, or life-threatening storm surge conditions on land.
Q: What information should we expect?
ALL of us should see information containing all of the standard NHC advisory text and graphical products and should be issued at the standard advisory times, according to the Federal Government, NOAA/NWS.
#TheWeatherlady",0.021,0.919,0.06,-0.6531,NEG
thanks for the explanation. 🙌🏽,0.42,0.58,0.0,0.4404,POS
Why are you using Denis Phillips page to advise?,0.0,1.0,0.0,0.0,NEU
"I’m not selling anything, for the record.
We are both meteorologists and emergency managers. Just adding to the conversation with facts ma’am. Plus I know him and went to FSU with Gregory📡 #TheWeatherlady",0.0,0.923,0.077,-0.3818,NEG
how about you as a freelance writer?,0.306,0.694,0.0,0.296,POS
Thank you for answering my question.,0.333,0.667,0.0,0.3612,POS
"What did you want to know about my writing?",0.14,0.86,0.0,0.0772,POS
Thank you for letting us know about what is happening!,0.237,0.763,0.0,0.4199,POS
"Judging by the current track, I would have expected the watches and warnings to be the exact opposite of what they are. Let's just hope it doesn't get to be too much for any of us.",0.076,0.866,0.058,0.1779,POS
Can I ask a question??? I am from Michigan and am flying to Tampa tomorrow morning early and we will be in Maderia Beach. Where does this fall into the watch/warning area??,0.0,1.0,0.0,0.0,NEU
"I was thinking the same thing. Most major models (CMC, ICON, Euro, and GFS) tracks has northern landfall (above Pasco).",0.0,1.0,0.0,0.0,NEU
right in the path. Check with the airport just in case they cancel the flight.. depends if it picks up speed.. good luck!,0.22,0.709,0.071,0.636,POS
right now flight is on time - we have a non stop flight from Detroit to Tampa that gets in at noon which looks like well before the rain is supposed to start.,0.132,0.805,0.063,0.34,POS
it's already raining in Sarasota. Stay safe!!,0.367,0.633,0.0,0.5399,POS
any area along the coast / beaches will probably be included in the watch / warnings. Things change constantly so just keep watching Denis 😊,0.0,0.905,0.095,-0.296,NEG
