"WOW!  As we just posted, the NHC has indeed moved the track of what is now Tropical Depression #4 quite a bit to the West. The center has reformed South of Cuba and West of its original spot. This is certainly good news for our area yet it also increases the chance of a stronger storm in the Big Bend Area. Updates to come shortly after the newscast. Check us out at 11 on ABC Action News.",Pos,Neu,Neg,Compound,Overall Sentiment
It will change 50 more times between now and tomorrow,0.0,1.0,0.0,0.0,NEU
is listen to the guy who does this for a living.,0.0,1.0,0.0,0.0,NEU
correct weather changes,0.0,1.0,0.0,0.0,NEU
Not to that extreme.,0.0,1.0,0.0,0.0,NEU
FACTS,0.0,1.0,0.0,0.0,NEU
Great news for us! We are on Margaritaville at Sea cruise and heading back from Cozumel to Tampa but they have closed Port of Tampa for Sunday so we get an extra day at sea!,0.084,0.916,0.0,0.4826,POS
glass is half full! I love it! 😂😂😂,0.444,0.556,0.0,0.6988,POS
you better top it off then😁,0.54,0.46,0.0,0.5719,POS
Do you think flights out of Orlando Sunday evening will be affected ?,0.0,0.873,0.127,-0.1531,NEG
"Denis Phillips you’re gunna have to get an assistant just for flight questions😂. I get it though, been in that situation before.",0.0,1.0,0.0,0.0,NEU
Denis Phillips thank you so much. I appreciate you responding. I know a traveler that is going from Orlando to Minneapolis around 6pm. They aren’t use to this kind of weather like we are. Trying to see if we needed to make alternate plans possibly ahead of time. Thanks for all you do !,0.195,0.805,0.0,0.8799,POS
that’s what I want the know as well. I’m flying to MCO on Sunday at 7:30pm.,0.207,0.793,0.0,0.34,POS
I'm wondering if an inbound flight from Nashville Sunday afternoon will happen,0.0,1.0,0.0,0.0,NEU
"An inbound flight from Nashville to Tamoa on Sunday afternoon probably will be impacted, correct?",0.0,1.0,0.0,0.0,NEU
also wondering this. We have a flight back home to PA at 12pm. Ughhhhh,0.0,1.0,0.0,0.0,NEU
"Denis Phillips you said that if it goes into the gulf it could strengthen and it would be better if it rode up the coast as originally expected because it would most likely not strengthen, so is this not the case now? Just concerned for big bend, but glad it’s moved north of us because this afternoon it was as the picture here and my house is the purple dot.",0.123,0.877,0.0,0.8047,POS
Denis Phillips thank you for the clarification.,0.294,0.706,0.0,0.3612,POS
"now that you are official Floridians, THIS is who you want to follow for the most up to date and accurate storm info, if you’re not already following.
I’ve followed him for years even though I live in New Orleans…Denis was more accurate on Cat 4 Ida than our local teams were. He’s my go-to when storms are heading MY way lol.",0.066,0.934,0.0,0.4767,POS
absolutely,0.0,1.0,0.0,0.0,NEU
"Not to be ""that guy"" but I have SERIOUS fears for the big bend area that this is going to rapidly intensify and hit much harder than is predicted... now it's forecasted to have almost 36 hrs in the warm gulf waters and if I lived anywhere in that area I'd be preparing for a possible major impact.",0.039,0.858,0.103,-0.5993,NEG
"I was thinking the same. I was so hopeful when the earlier forecast slammed it into the state down by ft Myers as a weak disorganized rainmaker. Not wishing impacts on anyone, but that would have kept it weak. Now with the west trending it's much more alarming. We ran from Idalia, staying for this one, but feeder bands and tornados will most likely be are biggest threat here in Dunnellon. Weather is like conspiracy theories, worst case happens to be correct a good bit of the time, and when it's not, we breathe easy. My guess is Cat 2-3 on a westward path at current projected speed. I'm just a weather hobbiest, so take that with a grain of salt.",0.069,0.725,0.205,-0.9593,NEG
"I was honestly hoping for the same thing. Have enough time to skid along the coast that it wouldn't build up or intensify. But it's looking more serious than that unfortunately.. and I know meteorologists work with the info they're currently given and don't want to possibly scare people in areas that may not get ultimately affected by these storms, that's their job and duty to do so. But living in florida my whole life i know that what is predicted days out rarely reflects the actual strength of what they can be, especially given time in the bathwater that is the gulf... stay safe up there and be careful!!",0.133,0.805,0.062,0.8261,POS
"they have a tough battle. Dancing between supposed hype, or underplaying it. I'm not envious of them or their position. I don't expect winds to be too awful, shy of tornado possibilities, but we're in the trees, so windspeed at ground is greatly diminished. No flood threat here either. I truly thank you for the concern. I'm not sure where you're at, but please be safe. I'm still praying she cooks along fast and spares the intensity.",0.193,0.633,0.174,0.5785,POS
in the st pete TBA here but still biting my nails watching this. Stay safe!,0.228,0.772,0.0,0.63,POS
"on what you would call ""high ground"" in this area but winds and flooding are still a factor. Be cautious of trees in your area! Same to you and God speed",0.09,0.86,0.049,0.3274,POS
I was thinking the same I'm no meteorologist but that water has to be hot AF with the temps we've been having,0.0,0.926,0.074,-0.1531,NEG
"just today in st pete we had waters around 91F... I'm no professional at all, but my SO lived in Panama city when Michael came through. It was predicted to be a cat 1 and I offered for her to come down and stay with me just in case, within 6 hrs it turned from a cat 1 to a cat 3 prediction and became nearly a 5 when impacted. Again, I know the circumstances are different but it's enough time and warmth to become something serious with these forecasts...",0.048,0.915,0.037,0.4497,POS
"yeah you never know it could be coming right at us had a cat 5 and turn around and go somewhere else it is a tropical storm now but could be a hurricane tomorrow crazy Florida weather born and raised here 60 years I’m in pinellas county, five minutes from the beach it’s always so crazy praying for the best for everyone 🙏🏻",0.155,0.758,0.087,0.7066,POS
"same here, right near T.I. be safe out there.",0.266,0.734,0.0,0.4404,POS
seen as how nearly every depression as of late has done exactly that I don't think that's a strange insight at all. Unless there's something to slow it down they ramp up pretty fast nowadays,0.124,0.779,0.096,0.0237,NEU
And this could possibly go further West,0.0,1.0,0.0,0.0,NEU
*East,0.0,1.0,0.0,0.0,NEU
I don’t think this is gonna go back further East. Remember this has not crossed Cuba yet.,0.0,1.0,0.0,0.0,NEU
It will be interesting to look back and see how accurate that UK model was through this whole run.,0.13,0.87,0.0,0.4019,POS
Tallahassee 😭,0.0,1.0,0.0,0.0,NEU
"we are getting beat down up here! Idalia, then the tornado outbreak in May. I sure hope not. There are so many people still rebuilding here.",0.193,0.807,0.0,0.6696,POS
yes I agree ! The tornadoes have me very concerned . That was very scared !,0.322,0.501,0.178,0.38,POS
pre-drill was suppose to begin on Wednesday at FAMU. Looks like I'll get to keep my son home a few extra days.,0.111,0.889,0.0,0.3612,POS
very smart ! But the university does its best with taking care of the students .,0.53,0.47,0.0,0.9244,POS
and the flooding rains we had in April. One of local greenways has still not returned to the state it was in before the April rains.,0.0,1.0,0.0,0.0,NEU
I didn’t realize that !,0.0,1.0,0.0,0.0,NEU
I am betting it keeps moving west. I do wonder if it will be a cat 1 at landfall.,0.0,1.0,0.0,0.0,NEU
"if it keeps going west, it will probably be stronger than a 1. All that warm water can turn this thing into a monster",0.184,0.816,0.0,0.5423,POS
"It is interesting to see such movement West however I also am keeping that windshield wiper effect in mind at this time.
Prayers for all in it's path",0.094,0.906,0.0,0.4019,POS
I'm having Idalia PTSD....,0.0,1.0,0.0,0.0,NEU
"same and Ian, also",0.0,1.0,0.0,0.0,NEU
me too,0.0,1.0,0.0,0.0,NEU
is this where Idalia made land?,0.0,1.0,0.0,0.0,NEU
"this is where it was originally forecast to make land. I live right in the original path....
It actually landed a little north of Steinhatchee, went through Live Oak and into Georgia.",0.073,0.927,0.0,0.3182,POS
"yeah, i live where it was predicted to make land also. We wound up flooding after all, good luck",0.351,0.649,0.0,0.7964,POS
